Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0157049775893594,-1.07573699920716,0.00901006331799033,0,0,0,4.68377084270823,0.0070998538723502,2.47010899364694E-06,-3.91237973608519E-05,0.0110826789999964,-4.43733340319763E-08,0.0121317469183278,0,0,0,0,0,0,package://組合件1.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://組合件1.SLDASM/meshes/base_link.STL,,rearwing-2;righthand-1;lefthand-1;lefttooth-1;righttooth-1;CameraCase-1;c930e-4;level1-2;車牌-1;OPENCR-1/OPENCR.step-1/MANIFOLD_SOLID_BREP_33156.step-1;level2-1;agx-1/agx.stp-1/PCIE_COVER_CONCORD_ASM_1.stp-1/PCIE_COVER_CONCORD_1.stp-1;level3-2;Ball Caster-2/Ball Caster.step-1/PR21_CASTER_CVR_3X5_REV6.step-1;XM430-W350-R-8;XM430-W350-R-7;caseright-1;caseleft-1;rplidar-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel_Link,0.00978424359831997,8.86679301231874E-08,-1.51592238159526E-06,0,0,0,0.0298805023519677,2.12913595127045E-05,5.25622601393167E-09,4.60517243236408E-12,1.14282996535033E-05,-4.30506415727038E-10,1.14403527575E-05,0,0,0,0,0,0,package://組合件1.SLDASM/meshes/left_wheel_Link.STL,0.603921568627451,0.647058823529412,0.686274509803922,1,0,0,0,0,0,0,package://組合件1.SLDASM/meshes/left_wheel_Link.STL,,wheels-3/wheels.step-1/First Floor _1_.step-1/wheel _2_.step-1/PR16_A01_TIRE_2.step-1;wheels-3/wheels.step-1/First Floor _1_.step-1/wheel _2_.step-1/P30_ISP_A001_3D.step-1,Origin_left_wheel_joint,Axis_left_wheel_joint,left_wheel_joint,continuous,-0.0363449839531719,-1.0098106835643,-0.0894530588923699,1.5707963267949,0,-1.5707963267949,base_link,1,0,0,,,,,,,,,,,,
right_wheel_Link,-1.51592237033343E-06,8.86679334261009E-08,0.00851575640168067,0,0,0,0.0298805023519675,1.14403527575E-05,-4.3050641569065E-10,-4.60517260801647E-12,1.14282996535032E-05,-5.25622601389982E-09,2.12913595127045E-05,0,0,0,0,0,0,package://組合件1.SLDASM/meshes/right_wheel_Link.STL,0.262745098039216,0.282352941176471,0.301960784313725,1,0,0,0,0,0,0,package://組合件1.SLDASM/meshes/right_wheel_Link.STL,,wheels-1/wheels.step-1/First Floor _1_.step-1/wheel _2_.step-1/P30_ISP_A001_3D.step-1;wheels-1/wheels.step-1/First Floor _1_.step-1/wheel _2_.step-1/PR16_A01_TIRE_2.step-1,Origin_right_wheel_joint,Axis_right_wheel_joint,right_wheel_joint,continuous,-0.0363449839531717,-1.12293168824014,-0.08945305889237,-1.5707963267949,0,3.14159265358979,base_link,0,0,1,,,,,,,,,,,,
